epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
104,2994.56,1.42341,0.50524,0.00223,0.97343,0.95396,0.99004,0.71543,1.04759,0.37539,0.00094,0.0006404,0.0006404,0.0006404
105,3023.73,1.40955,0.52261,0.00247,0.96932,0.95494,0.98962,0.71775,1.03051,0.37441,0.00092,0.0006272,0.0006272,0.0006272
106,3052.9,1.43712,0.53109,0.00261,0.96889,0.9586,0.98993,0.71207,1.04204,0.35718,0.00094,0.000614,0.000614,0.000614
107,3082.39,1.41217,0.51798,0.00236,0.96033,0.93424,0.98621,0.7078,1.05713,0.39409,0.00095,0.0006008,0.0006008,0.0006008
108,3111.88,1.42236,0.52805,0.00249,0.95099,0.9354,0.98551,0.69503,1.10139,0.39599,0.00101,0.0005876,0.0005876,0.0005876
109,3141.43,1.41766,0.52567,0.00254,0.96892,0.95186,0.98917,0.68349,1.15058,0.39078,0.00103,0.0005744,0.0005744,0.0005744
110,3171.04,1.41659,0.50141,0.00223,0.97448,0.95605,0.99056,0.73993,0.98515,0.36313,0.00088,0.0005612,0.0005612,0.0005612
111,3200.56,1.41812,0.51176,0.00245,0.97475,0.95921,0.99071,0.70651,1.08604,0.35883,0.00097,0.000548,0.000548,0.000548
112,3229.52,1.4059,0.54493,0.00269,0.96708,0.95225,0.98895,0.73611,0.99036,0.37173,0.00088,0.0005348,0.0005348,0.0005348
113,3259.01,1.42109,0.51805,0.00243,0.97132,0.95115,0.98964,0.74094,0.97936,0.35643,0.00088,0.0005216,0.0005216,0.0005216
114,3286.84,1.39966,0.49984,0.00235,0.97211,0.95042,0.98951,0.7128,1.0513,0.3691,0.00094,0.0005084,0.0005084,0.0005084
115,3315.41,1.42602,0.51761,0.00244,0.9688,0.95542,0.9898,0.695,1.11624,0.3794,0.001,0.0004952,0.0004952,0.0004952
116,3345.38,1.41078,0.505,0.00238,0.96837,0.95665,0.98977,0.72861,1.00458,0.37067,0.00089,0.000482,0.000482,0.000482
117,3375.32,1.42112,0.51713,0.00243,0.97122,0.95653,0.99038,0.71745,1.05569,0.37146,0.00094,0.0004688,0.0004688,0.0004688
118,3404.86,1.41028,0.49327,0.00217,0.96993,0.95328,0.98993,0.7184,1.04216,0.36889,0.00093,0.0004556,0.0004556,0.0004556
119,3434.65,1.39933,0.49461,0.00233,0.97382,0.95407,0.99041,0.70888,1.074,0.35151,0.00095,0.0004424,0.0004424,0.0004424
120,3464.22,1.41472,0.49841,0.00222,0.96836,0.95201,0.98963,0.73672,0.99397,0.35035,0.00089,0.0004292,0.0004292,0.0004292
121,3493.03,1.40113,0.49772,0.00231,0.96952,0.95152,0.98942,0.75206,0.95098,0.34956,0.00085,0.000416,0.000416,0.000416
122,3521.3,1.40585,0.51596,0.00234,0.96976,0.95162,0.98979,0.73626,0.97664,0.35078,0.00088,0.0004028,0.0004028,0.0004028
123,3550.29,1.40036,0.49477,0.00231,0.9602,0.93974,0.98795,0.74388,0.95921,0.35376,0.00086,0.0003896,0.0003896,0.0003896
124,3579.36,1.41109,0.52165,0.00253,0.96195,0.95399,0.98895,0.74409,0.96382,0.35196,0.00086,0.0003764,0.0003764,0.0003764
125,3608.42,1.39967,0.51146,0.00245,0.96873,0.94563,0.98929,0.73539,1.00239,0.34653,0.00089,0.0003632,0.0003632,0.0003632
