epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,2750.93,1.42403,0.50775,0.00241,0.98075,0.96275,0.99216,0.7094,1.05938,0.33889,0.00096,0.0012674,0.0012674,0.0012674
76,2787.31,1.38471,0.49118,0.00237,0.9771,0.94908,0.98952,0.73471,0.96187,0.36902,0.00086,0.0012575,0.0012575,0.0012575
77,2823.43,1.41704,0.49645,0.00233,0.9815,0.95869,0.99113,0.73295,0.96637,0.33721,0.00087,0.0012476,0.0012476,0.0012476
78,2859.08,1.40877,0.50828,0.00238,0.97877,0.97008,0.9926,0.68207,1.14722,0.34813,0.00105,0.0012377,0.0012377,0.0012377
79,2895.21,1.40098,0.49912,0.00232,0.98065,0.97172,0.99258,0.66709,1.20537,0.35014,0.00111,0.0012278,0.0012278,0.0012278
80,2931.29,1.37955,0.48544,0.00233,0.98,0.96459,0.99209,0.73932,0.97597,0.32042,0.00088,0.0012179,0.0012179,0.0012179
81,2967.66,1.37157,0.49008,0.00242,0.97798,0.96551,0.99232,0.74676,0.92103,0.34507,0.00083,0.001208,0.001208,0.001208
82,3003.35,1.40875,0.46628,0.00218,0.9756,0.9575,0.99077,0.65319,1.27148,0.38079,0.00117,0.0011981,0.0011981,0.0011981
83,3040.35,1.41135,0.49728,0.00237,0.98083,0.97033,0.99259,0.707,1.06624,0.34106,0.00096,0.0011882,0.0011882,0.0011882
84,3077.01,1.41734,0.51611,0.00251,0.97757,0.96316,0.99189,0.7087,1.06695,0.3565,0.00098,0.0011783,0.0011783,0.0011783
85,3113.79,1.39533,0.4943,0.00238,0.97488,0.96288,0.99143,0.71164,1.05092,0.35946,0.00096,0.0011684,0.0011684,0.0011684
86,3149.37,1.39579,0.48979,0.00239,0.98036,0.9641,0.99216,0.74648,0.93875,0.31571,0.00084,0.0011585,0.0011585,0.0011585
87,3184.67,1.36178,0.47377,0.00221,0.98407,0.95791,0.99215,0.70925,1.04934,0.33073,0.00095,0.0011486,0.0011486,0.0011486
88,3220.45,1.41565,0.49628,0.00242,0.97675,0.96263,0.99186,0.68998,1.12061,0.36884,0.00102,0.0011387,0.0011387,0.0011387
89,3256.3,1.40238,0.52113,0.00273,0.97979,0.96715,0.99212,0.69614,1.09901,0.35991,0.00099,0.0011288,0.0011288,0.0011288
90,3292.63,1.39589,0.50076,0.00247,0.97908,0.96563,0.99233,0.70192,1.08484,0.34226,0.00098,0.0011189,0.0011189,0.0011189
91,3329.17,1.4279,0.50681,0.00248,0.97875,0.96849,0.99211,0.73786,0.94244,0.31432,0.00085,0.001109,0.001109,0.001109
92,3365.08,1.38142,0.51344,0.00256,0.97873,0.95885,0.99128,0.67769,1.1456,0.34979,0.00103,0.0010991,0.0010991,0.0010991
93,3400.93,1.38604,0.52097,0.0027,0.98017,0.96678,0.99239,0.67598,1.19789,0.34552,0.0011,0.0010892,0.0010892,0.0010892
